city,area,rooms,bathroom,parking spaces
Porto Alegre,563,3,6,4
Rio de Janeiro,65,2,2,0
Rio de Janeiro,170,2,2,1
Belo Horizonte,22,1,1,1
Belo Horizonte,410,4,4,4
Rio de Janeiro,60,2,1,1
São Paulo,47,1,1,0
São Paulo,72,2,2,0
Belo Horizonte,157,4,3,3
São Paulo,280,3,4,2
Rio de Janeiro,68,3,2,1
Campinas,56,1,1,0
São Paulo,140,2,4,1
Campinas,50,2,1,0
Campinas,40,2,1,1
São Paulo,260,3,4,4
São Paulo,700,6,8,8
São Paulo,130,2,1,0
São Paulo,215,3,2,0
Rio de Janeiro,300,4,3,2
São Paulo,250,4,5,4
Rio de Janeiro,80,2,2,1
Porto Alegre,54,2,1,0
Campinas,57,1,2,1
São Paulo,130,3,2,1
São Paulo,48,1,1,2
Porto Alegre,318,4,3,0
São Paulo,77,1,2,1
São Paulo,42,1,1,1
Rio de Janeiro,74,3,1,0
São Paulo,452,4,6,4
Porto Alegre,41,1,2,1
São Paulo,90,2,2,2
Rio de Janeiro,145,1,3,1
São Paulo,70,1,2,0
São Paulo,180,3,4,5
São Paulo,68,2,1,0
São Paulo,300,4,4,3
São Paulo,270,3,3,1
São Paulo,63,1,1,1
São Paulo,140,2,3,1
São Paulo,220,5,4,3
São Paulo,90,3,2,2
São Paulo,62,2,2,1
São Paulo,55,1,1,0
Belo Horizonte,170,3,2,3
Belo Horizonte,75,3,2,1
São Paulo,150,3,4,3
Porto Alegre,270,4,4,2
Porto Alegre,55,2,1,0
Rio de Janeiro,38,1,1,0
Porto Alegre,87,2,2,1
Belo Horizonte,26,1,1,1
Belo Horizonte,384,5,4,6
Belo Horizonte,62,2,1,1
São Paulo,70,2,1,1
Porto Alegre,48,1,1,1
São Paulo,396,4,4,4
Rio de Janeiro,480,3,4,1
Belo Horizonte,230,4,4,3
Rio de Janeiro,60,1,1,0
Rio de Janeiro,80,2,2,2
Rio de Janeiro,150,4,3,3
Belo Horizonte,85,3,1,0
São Paulo,25,1,1,0
Porto Alegre,105,3,3,0
São Paulo,144,4,2,2
Belo Horizonte,80,3,2,2
São Paulo,100,1,1,0
Belo Horizonte,649,5,5,6
Porto Alegre,55,2,1,1
Porto Alegre,68,2,2,1
São Paulo,265,3,3,0
São Paulo,96,2,1,0
Belo Horizonte,241,5,4,3
Rio de Janeiro,65,2,1,1
Campinas,71,2,1,1
São Paulo,90,1,1,0
São Paulo,90,3,2,0
Campinas,42,1,1,1
Porto Alegre,109,3,1,1
Rio de Janeiro,260,4,1,2
São Paulo,154,3,3,2
Belo Horizonte,55,1,1,0
São Paulo,49,2,2,1
São Paulo,56,1,1,0
Campinas,67,2,1,1
São Paulo,160,4,4,0
Porto Alegre,118,3,2,1
Belo Horizonte,47,2,1,1
São Paulo,132,3,4,3
Porto Alegre,47,1,1,0
Campinas,60,3,2,1
São Paulo,250,4,5,0
Porto Alegre,400,3,4,5
Rio de Janeiro,28,1,1,0
São Paulo,300,3,4,2
São Paulo,78,2,1,2
São Paulo,56,2,1,0
São Paulo,110,2,2,0
São Paulo,65,2,2,1
Belo Horizonte,59,3,1,1
São Paulo,20,1,1,0
São Paulo,65,3,1,1
São Paulo,235,4,4,4
São Paulo,137,2,3,2
Belo Horizonte,28,1,1,0
São Paulo,50,1,1,1
São Paulo,120,3,1,4
São Paulo,80,2,1,0
Rio de Janeiro,82,3,1,0
São Paulo,160,3,2,1
São Paulo,51,1,1,0
São Paulo,56,2,1,0
São Paulo,170,3,4,0
São Paulo,300,4,5,4
São Paulo,60,2,1,1
Rio de Janeiro,50,1,1,1
São Paulo,250,5,6,2
Rio de Janeiro,80,2,2,2
São Paulo,20,1,1,0
Rio de Janeiro,110,2,1,1
Belo Horizonte,430,4,5,3
Belo Horizonte,144,4,3,3
São Paulo,80,2,1,1
Campinas,30,1,1,0
São Paulo,163,2,3,2
Belo Horizonte,80,2,2,2
São Paulo,300,5,4,7
Belo Horizonte,544,4,3,7
Belo Horizonte,95,3,2,2
Porto Alegre,65,2,1,0
Belo Horizonte,305,4,5,5
Belo Horizonte,103,2,2,2
São Paulo,135,3,2,2
São Paulo,200,3,4,2
Rio de Janeiro,47,2,2,1
Rio de Janeiro,35,1,1,0
Campinas,44,2,1,1
São Paulo,82,2,1,1
São Paulo,50,1,1,1
Belo Horizonte,360,4,3,3
Porto Alegre,95,3,2,2
São Paulo,83,2,3,2
São Paulo,60,1,1,1
São Paulo,122,3,2,1
São Paulo,150,3,4,4
Campinas,450,5,4,8
Porto Alegre,58,2,1,1
São Paulo,380,4,2,4
Belo Horizonte,430,4,5,3
Porto Alegre,280,3,5,2
Belo Horizonte,580,5,6,5
Porto Alegre,98,2,2,0
São Paulo,40,1,1,1
Rio de Janeiro,50,2,1,1
São Paulo,40,1,1,1
Rio de Janeiro,75,4,4,1
Rio de Janeiro,72,1,1,1
São Paulo,429,5,4,6
São Paulo,380,4,2,0
Belo Horizonte,72,3,1,1
São Paulo,114,3,3,0
São Paulo,100,3,2,4
São Paulo,120,4,2,2
São Paulo,100,3,3,2
Porto Alegre,170,2,3,2
São Paulo,62,1,2,1
São Paulo,62,2,2,1
São Paulo,94,2,3,2
Rio de Janeiro,144,3,2,1
Campinas,68,2,1,2
Porto Alegre,42,1,1,0
Porto Alegre,84,3,1,0
São Paulo,165,3,4,4
São Paulo,50,2,1,1
Porto Alegre,65,2,1,1
Campinas,52,1,1,1
São Paulo,136,3,3,2
Belo Horizonte,75,2,1,1
São Paulo,212,3,5,3
São Paulo,70,2,1,1
São Paulo,57,2,1,1
São Paulo,128,2,3,3
São Paulo,62,2,2,1
São Paulo,140,3,3,2
São Paulo,55,2,1,1
São Paulo,130,3,2,1
São Paulo,82,3,2,2
São Paulo,100,3,2,1
São Paulo,122,2,2,2
Porto Alegre,87,2,1,0
Belo Horizonte,70,2,1,2
Rio de Janeiro,123,3,2,1
Porto Alegre,91,3,2,2
São Paulo,50,1,1,0
São Paulo,189,4,3,3
Campinas,45,2,1,1
Rio de Janeiro,35,1,1,0
São Paulo,350,5,5,4
Belo Horizonte,73,1,1,0
São Paulo,35,2,1,1
São Paulo,685,4,3,5
São Paulo,140,5,2,1
São Paulo,78,3,3,2
São Paulo,200,6,4,2
Porto Alegre,102,2,2,1
Campinas,48,2,1,1
São Paulo,84,3,2,1
São Paulo,80,2,1,1
São Paulo,391,4,5,2
São Paulo,227,4,4,3
São Paulo,180,3,3,4
Belo Horizonte,178,4,4,4
São Paulo,105,1,1,2
São Paulo,26,1,1,0
São Paulo,200,2,3,1
Belo Horizonte,78,2,2,2
São Paulo,309,4,5,3
Porto Alegre,66,3,2,1
Rio de Janeiro,20,1,1,0
Campinas,35,1,1,1
São Paulo,130,2,4,3
São Paulo,120,3,1,0
Rio de Janeiro,75,2,2,0
São Paulo,120,3,3,2
Rio de Janeiro,65,2,1,1
São Paulo,20,1,1,0
São Paulo,62,3,1,2
São Paulo,129,3,4,2
São Paulo,70,2,2,4
Rio de Janeiro,38,1,1,0
Porto Alegre,120,3,3,3
São Paulo,180,2,3,2
São Paulo,82,1,1,2
Belo Horizonte,58,2,2,2
São Paulo,52,2,1,1
São Paulo,67,2,1,0
Belo Horizonte,100,3,1,1
São Paulo,570,4,5,4
São Paulo,54,2,1,1
Campinas,150,4,2,0
São Paulo,32,1,1,1
São Paulo,127,3,2,2
Porto Alegre,58,2,1,1
São Paulo,230,3,2,2
São Paulo,60,1,1,0
Porto Alegre,60,1,1,0
São Paulo,245,3,5,4
São Paulo,180,3,2,2
Porto Alegre,42,1,1,1
Porto Alegre,41,1,1,0
Belo Horizonte,800,4,4,3
Belo Horizonte,700,7,6,5
São Paulo,140,3,3,2
Porto Alegre,222,4,3,2
Porto Alegre,122,3,3,2
Rio de Janeiro,62,1,1,0
São Paulo,107,2,2,0
Belo Horizonte,59,2,2,0
Rio de Janeiro,40,1,1,0
Campinas,72,3,1,1
Belo Horizonte,400,4,6,4
São Paulo,84,2,3,2
Belo Horizonte,80,3,2,2
São Paulo,90,2,2,0
Belo Horizonte,413,4,4,0
São Paulo,120,4,4,1
Belo Horizonte,66,2,1,1
Rio de Janeiro,140,3,2,1
Belo Horizonte,190,4,2,2
São Paulo,325,5,5,4
Rio de Janeiro,60,2,2,0
São Paulo,310,4,4,3
São Paulo,100,2,2,2
Campinas,120,2,1,0
Belo Horizonte,52,2,1,1
São Paulo,52,2,1,1
Campinas,115,3,3,1
Rio de Janeiro,47,1,1,1
São Paulo,66,2,1,1
São Paulo,100,2,1,2
Porto Alegre,55,2,1,1
São Paulo,200,3,4,3
Campinas,51,2,1,1
São Paulo,140,3,3,2
Belo Horizonte,200,4,4,3
Porto Alegre,30,2,2,1
Belo Horizonte,87,3,2,2
Porto Alegre,100,3,2,1
São Paulo,48,1,1,1
Rio de Janeiro,40,1,1,1
Porto Alegre,78,2,2,1
Porto Alegre,41,1,2,1
São Paulo,200,3,4,3
Belo Horizonte,234,3,3,3
Rio de Janeiro,136,3,1,0
São Paulo,250,3,4,4
Rio de Janeiro,125,3,2,1
São Paulo,86,2,1,0
Porto Alegre,62,2,1,0
São Paulo,120,3,2,2
Campinas,61,1,1,0
Porto Alegre,160,3,2,1
Campinas,64,1,1,0
Rio de Janeiro,70,3,2,1
Campinas,258,2,2,1
Belo Horizonte,163,4,3,2
São Paulo,360,4,5,4
Rio de Janeiro,90,2,2,1
São Paulo,50,1,1,0
Rio de Janeiro,264,4,4,1
Rio de Janeiro,70,2,1,0
São Paulo,126,2,2,1
São Paulo,35,1,1,1
Porto Alegre,98,2,2,1
Rio de Janeiro,47,2,1,1
São Paulo,70,3,2,1
Porto Alegre,85,3,3,0
Rio de Janeiro,90,2,2,1
São Paulo,250,3,4,3
Rio de Janeiro,160,4,2,0
São Paulo,25,1,1,0
São Paulo,97,2,3,2
São Paulo,33,1,1,0
Rio de Janeiro,66,2,1,1
São Paulo,78,3,2,2
São Paulo,248,3,4,3
São Paulo,163,3,2,1
São Paulo,332,5,4,3
São Paulo,30,1,1,1
Rio de Janeiro,172,3,3,3
Belo Horizonte,100,3,2,0
São Paulo,260,4,4,2
São Paulo,432,5,7,6
São Paulo,46,2,1,1
São Paulo,999,5,7,4
Belo Horizonte,274,6,6,2
Rio de Janeiro,76,2,1,0
Belo Horizonte,210,4,4,2
São Paulo,400,4,5,4
São Paulo,110,3,2,1
São Paulo,20,1,1,0
São Paulo,160,3,2,2
Rio de Janeiro,95,3,2,2
São Paulo,38,1,1,0
São Paulo,220,4,3,3
Belo Horizonte,396,4,5,6
São Paulo,360,4,7,5
Rio de Janeiro,25,1,1,0
São Paulo,120,3,2,8
São Paulo,556,6,7,4
Belo Horizonte,100,3,1,1
São Paulo,40,1,1,0
Campinas,55,2,1,1
Rio de Janeiro,60,2,1,0
São Paulo,70,3,1,2
São Paulo,52,2,1,1
Rio de Janeiro,110,3,2,1
São Paulo,53,2,1,1
São Paulo,188,1,3,2
Porto Alegre,121,3,2,1
São Paulo,80,1,1,1
Belo Horizonte,160,4,2,2
São Paulo,285,4,5,4
São Paulo,70,2,1,0
Campinas,53,2,2,1
Rio de Janeiro,320,3,6,3
Rio de Janeiro,96,2,2,2
São Paulo,35,1,1,1
Campinas,375,4,5,0
São Paulo,60,2,1,0
Belo Horizonte,100,7,2,1
Rio de Janeiro,82,2,1,0
São Paulo,57,1,1,0
São Paulo,485,5,6,6
São Paulo,61,1,2,1
Rio de Janeiro,28,1,1,0
São Paulo,130,3,2,1
Porto Alegre,119,3,1,0
São Paulo,123,3,1,1
Campinas,96,2,1,1
Rio de Janeiro,120,3,2,2
Rio de Janeiro,89,3,1,1
São Paulo,190,3,3,2
Belo Horizonte,402,4,4,4
Rio de Janeiro,40,1,1,0
São Paulo,210,4,3,3
São Paulo,77,2,2,1
Belo Horizonte,65,3,1,1
São Paulo,160,3,4,3
Rio de Janeiro,80,2,3,1
Porto Alegre,110,3,2,0
Porto Alegre,132,3,2,2
Belo Horizonte,90,3,2,2
Porto Alegre,50,2,1,1
São Paulo,55,3,1,1
São Paulo,40,1,1,0
Rio de Janeiro,38,2,2,1
São Paulo,50,2,1,1
São Paulo,136,3,3,1
Rio de Janeiro,140,3,2,2
Rio de Janeiro,150,4,2,2
Belo Horizonte,65,2,2,1
São Paulo,41,3,2,1
São Paulo,180,3,3,1
Porto Alegre,425,4,4,0
Porto Alegre,70,2,1,1
São Paulo,460,6,6,4
Rio de Janeiro,70,2,2,1
São Paulo,25,1,1,0
São Paulo,274,4,5,6
São Paulo,42,1,1,2
Porto Alegre,64,2,1,1
Rio de Janeiro,31,1,1,0
São Paulo,74,2,1,0
São Paulo,110,2,3,3
São Paulo,20,1,1,0
Belo Horizonte,91,2,3,1
Porto Alegre,85,2,3,1
São Paulo,42,1,1,1
Porto Alegre,359,3,4,2
Porto Alegre,89,2,1,0
São Paulo,50,1,1,0
São Paulo,43,1,1,0
São Paulo,40,1,1,1
Campinas,42,1,1,1
Rio de Janeiro,143,3,2,1
Porto Alegre,140,3,1,1
São Paulo,60,1,1,1
Rio de Janeiro,121,1,1,0
Porto Alegre,148,3,2,2
Rio de Janeiro,130,4,3,0
Rio de Janeiro,35,1,1,0
Rio de Janeiro,85,3,2,1
São Paulo,40,1,1,0
Rio de Janeiro,53,2,1,1
São Paulo,80,3,2,2
São Paulo,77,3,3,2
São Paulo,103,3,2,2
Porto Alegre,78,2,2,0
São Paulo,158,3,4,2
São Paulo,300,4,4,3
Rio de Janeiro,65,2,1,1
São Paulo,58,2,2,1
São Paulo,250,3,4,0
São Paulo,440,4,4,4
Porto Alegre,39,1,1,1
Porto Alegre,45,2,2,0
Belo Horizonte,200,4,3,3
Porto Alegre,40,1,1,0
Belo Horizonte,75,2,1,1
Campinas,85,2,2,1
Rio de Janeiro,57,2,1,1
São Paulo,60,3,1,0
Campinas,46,2,1,1
Belo Horizonte,57,2,2,1
São Paulo,102,3,2,2
São Paulo,61,2,2,1
Rio de Janeiro,29,1,1,0
São Paulo,280,3,3,2
São Paulo,210,3,3,4
São Paulo,130,3,3,3
Porto Alegre,45,1,1,0
Belo Horizonte,45,1,1,1
Rio de Janeiro,40,1,1,0
São Paulo,175,1,1,2
São Paulo,750,4,5,8
São Paulo,60,2,3,2
São Paulo,86,2,1,1
Porto Alegre,75,2,2,2
Porto Alegre,281,4,3,4
Porto Alegre,70,2,2,1
Rio de Janeiro,280,3,3,2
São Paulo,30,1,1,0
Campinas,100,2,2,1
São Paulo,271,3,2,2
São Paulo,123,3,3,2
São Paulo,59,2,2,0
São Paulo,130,2,3,3
Porto Alegre,58,1,1,1
São Paulo,42,1,1,1
São Paulo,168,3,2,4
São Paulo,430,4,7,6
Rio de Janeiro,90,3,2,1
Rio de Janeiro,36,1,1,0
Rio de Janeiro,45,1,1,1
Belo Horizonte,73,3,1,1
São Paulo,38,1,1,0
São Paulo,95,3,2,1
Campinas,60,1,1,1
Belo Horizonte,60,2,1,1
São Paulo,44,1,1,1
Porto Alegre,39,1,1,1
Campinas,30,1,1,0
São Paulo,250,3,3,2
São Paulo,170,3,3,3
São Paulo,65,2,1,0
São Paulo,320,3,3,4
São Paulo,60,2,1,3
Porto Alegre,100,3,1,0
São Paulo,100,2,2,2
São Paulo,45,2,1,0
São Paulo,270,5,7,2
Rio de Janeiro,90,3,2,1
Campinas,51,2,1,2
São Paulo,72,2,2,1
Rio de Janeiro,45,1,1,1
Porto Alegre,60,2,1,0
São Paulo,213,3,3,2
São Paulo,33,1,1,0
Campinas,74,3,1,1
São Paulo,120,3,1,1
Rio de Janeiro,45,1,1,0
São Paulo,59,2,2,1
Rio de Janeiro,35,1,1,0
São Paulo,253,4,5,3
Campinas,78,3,2,1
Belo Horizonte,200,4,3,3
São Paulo,128,3,3,2
Belo Horizonte,200,5,2,5
São Paulo,60,2,2,1
São Paulo,244,3,4,2
São Paulo,120,2,1,1
Campinas,145,4,3,2
São Paulo,120,3,2,1
Campinas,34,1,1,0
São Paulo,90,2,1,2
Campinas,76,2,1,0
São Paulo,69,3,2,1
São Paulo,150,3,2,0
São Paulo,101,2,2,1
São Paulo,225,3,3,2
São Paulo,220,4,4,4
Porto Alegre,79,2,1,0
São Paulo,25,1,1,0
São Paulo,277,3,5,4
São Paulo,282,4,4,3
São Paulo,200,4,5,3
Porto Alegre,45,1,1,2
São Paulo,280,4,4,3
São Paulo,155,4,3,2
São Paulo,44,1,1,1
Belo Horizonte,312,4,5,4
Rio de Janeiro,90,2,1,0
São Paulo,64,2,1,1
São Paulo,150,2,2,3
São Paulo,65,2,1,0
Porto Alegre,47,1,1,1
Rio de Janeiro,40,1,1,0
São Paulo,50,1,1,0
Belo Horizonte,120,3,3,2
Rio de Janeiro,95,3,1,0
Rio de Janeiro,25,1,1,2
São Paulo,202,4,3,4
Rio de Janeiro,30,1,1,0
Porto Alegre,30,1,1,0
Belo Horizonte,1000,3,4,2
Porto Alegre,80,3,1,1
Belo Horizonte,120,4,3,2
São Paulo,249,3,3,3
São Paulo,90,3,3,2
Rio de Janeiro,91,2,2,1
São Paulo,36,1,1,0
São Paulo,51,2,1,1
São Paulo,287,4,4,4
Rio de Janeiro,65,2,2,1
São Paulo,84,2,2,2
São Paulo,43,1,1,1
São Paulo,58,2,1,1
São Paulo,208,4,4,3
São Paulo,462,7,2,3
São Paulo,167,3,2,1
São Paulo,62,2,1,1
Porto Alegre,75,2,2,0
Campinas,244,5,7,4
São Paulo,309,4,7,8
Porto Alegre,40,1,1,0
Porto Alegre,90,2,1,0
Porto Alegre,47,1,1,0
Porto Alegre,143,3,2,3
São Paulo,230,3,4,3
São Paulo,580,6,6,6
São Paulo,238,4,4,3
São Paulo,113,3,4,3
São Paulo,115,2,2,2
São Paulo,80,1,2,1
Rio de Janeiro,300,4,4,3
Campinas,70,1,1,2
São Paulo,52,2,1,0
São Paulo,55,2,1,1
Rio de Janeiro,58,2,1,1
Campinas,50,2,1,1
Campinas,40,1,1,0
São Paulo,164,3,2,1
Porto Alegre,76,2,2,0
São Paulo,80,2,1,1
Belo Horizonte,300,5,4,3
Porto Alegre,75,2,2,2
São Paulo,280,3,4,2
Porto Alegre,50,1,1,1
São Paulo,74,1,2,2
São Paulo,73,2,1,1
Campinas,280,4,3,4
Rio de Janeiro,403,3,4,2
Campinas,424,4,5,4
São Paulo,190,4,5,3
São Paulo,454,4,3,4
São Paulo,138,3,2,1
São Paulo,600,5,5,6
Campinas,58,2,1,1
São Paulo,38,1,1,0
São Paulo,113,2,2,1
São Paulo,70,2,1,0
Rio de Janeiro,90,2,1,0
São Paulo,183,4,4,3
Rio de Janeiro,20,1,1,0
Belo Horizonte,66,2,1,1
Rio de Janeiro,92,2,2,0
Porto Alegre,70,2,1,0
São Paulo,93,3,2,1
São Paulo,220,4,5,4
São Paulo,20,1,1,0
São Paulo,92,3,2,2
Belo Horizonte,50,2,1,0
São Paulo,300,3,5,2
Porto Alegre,90,3,1,1
Campinas,36,1,1,0
Rio de Janeiro,70,2,2,0
São Paulo,200,3,3,2
Rio de Janeiro,160,3,2,1
São Paulo,135,3,2,3
São Paulo,70,1,1,0
Belo Horizonte,95,2,1,1
São Paulo,60,2,2,2
São Paulo,36,1,1,0
São Paulo,136,3,3,3
São Paulo,250,3,2,2
São Paulo,330,3,5,3
Belo Horizonte,65,3,2,1
Campinas,380,3,4,4
São Paulo,350,5,5,4
Campinas,70,2,1,0
Rio de Janeiro,65,2,2,0
São Paulo,45,1,1,1
Rio de Janeiro,95,2,2,0
São Paulo,120,2,1,1
São Paulo,248,3,4,3
São Paulo,100,2,1,2
São Paulo,394,4,6,4
Campinas,209,3,3,2
Rio de Janeiro,16,1,1,0
São Paulo,49,2,1,1
Rio de Janeiro,70,2,2,1
Rio de Janeiro,150,3,2,3
Porto Alegre,58,2,1,1
São Paulo,200,3,4,1
Belo Horizonte,400,3,3,0
São Paulo,196,3,4,2
Porto Alegre,40,1,1,0
Belo Horizonte,158,3,3,2
São Paulo,130,2,1,1
Campinas,48,1,2,0
São Paulo,72,2,1,1
São Paulo,65,2,1,0
Porto Alegre,60,2,1,1
São Paulo,48,1,1,1
Rio de Janeiro,47,1,1,0
Porto Alegre,84,2,1,0
São Paulo,186,4,2,2
Belo Horizonte,85,3,2,2
São Paulo,160,4,5,3
Rio de Janeiro,74,2,1,1
São Paulo,18,1,1,0
Porto Alegre,130,2,1,2
Belo Horizonte,95,3,2,1
São Paulo,105,3,2,3
Belo Horizonte,85,2,2,1
Belo Horizonte,50,1,1,2
Rio de Janeiro,103,3,2,1
São Paulo,54,2,1,1
Campinas,75,2,1,2
São Paulo,25,1,1,0
Belo Horizonte,63,3,2,2
Belo Horizonte,150,5,5,5
São Paulo,47,2,1,1
Rio de Janeiro,140,3,2,3
Rio de Janeiro,40,1,1,0
Belo Horizonte,115,3,2,1
São Paulo,160,4,3,2
Rio de Janeiro,80,1,1,0
Rio de Janeiro,75,2,1,1
Porto Alegre,80,2,1,0
São Paulo,80,2,2,1
São Paulo,199,3,4,5
São Paulo,400,4,4,3
São Paulo,70,1,1,0
São Paulo,300,4,5,4
Belo Horizonte,70,2,1,1
São Paulo,250,3,2,1
Rio de Janeiro,27,1,1,0
São Paulo,54,2,1,1
São Paulo,225,4,5,4
São Paulo,125,3,2,1
São Paulo,55,2,1,0
São Paulo,186,3,3,2
Rio de Janeiro,154,3,3,1
São Paulo,200,3,4,2
São Paulo,246,3,4,3
Porto Alegre,78,2,1,0
São Paulo,70,2,1,1
São Paulo,188,3,1,3
Belo Horizonte,165,3,2,4
Campinas,63,2,1,0
Belo Horizonte,200,4,2,2
São Paulo,298,4,5,4
São Paulo,154,3,1,3
Campinas,110,3,2,2
Campinas,130,2,2,5
São Paulo,32,1,1,1
Rio de Janeiro,170,4,3,2
São Paulo,69,2,1,0
Rio de Janeiro,118,2,2,1
Rio de Janeiro,90,3,1,0
Campinas,65,1,1,1
São Paulo,260,4,3,4
São Paulo,182,3,5,3
São Paulo,41,1,1,1
São Paulo,45,1,1,0
São Paulo,40,1,1,0
São Paulo,100,1,3,2
São Paulo,66,2,1,0
Belo Horizonte,71,3,2,2
Campinas,94,2,1,1
Rio de Janeiro,80,2,2,1
São Paulo,41,1,1,1
São Paulo,140,3,2,1
Porto Alegre,47,1,1,1
Rio de Janeiro,70,3,1,1
Campinas,58,1,1,1
São Paulo,200,3,4,4
Rio de Janeiro,40,1,1,0
São Paulo,240,3,4,4
São Paulo,96,3,2,1
São Paulo,220,4,5,2
São Paulo,132,3,2,2
Belo Horizonte,106,3,2,2
São Paulo,150,3,3,2
São Paulo,68,3,1,1
Porto Alegre,180,4,5,3
Porto Alegre,44,1,1,1
Rio de Janeiro,75,2,1,0
São Paulo,58,2,2,1
São Paulo,72,2,1,0
São Paulo,190,4,4,2
Rio de Janeiro,150,3,2,1
Campinas,550,3,7,8
São Paulo,220,2,2,3
São Paulo,200,3,2,3
Belo Horizonte,300,5,3,4
São Paulo,70,2,2,0
Campinas,43,2,1,1
Porto Alegre,45,1,1,1
Porto Alegre,55,2,1,0
São Paulo,700,5,8,3
Belo Horizonte,300,3,5,0
Porto Alegre,220,4,5,2
São Paulo,300,4,5,6
Porto Alegre,52,1,1,0
Rio de Janeiro,106,2,2,1
Porto Alegre,84,2,2,2
São Paulo,50,2,1,0
São Paulo,240,3,3,2
São Paulo,240,3,3,4
Porto Alegre,260,2,2,1
São Paulo,73,2,2,1
São Paulo,334,4,6,5
São Paulo,67,2,1,1
São Paulo,71,2,1,0
São Paulo,280,3,4,3
Belo Horizonte,450,5,5,3
Porto Alegre,82,3,2,1
São Paulo,380,4,5,4
Porto Alegre,105,3,2,2
São Paulo,55,1,1,1
São Paulo,45,1,1,0
São Paulo,70,2,2,1
São Paulo,160,3,3,0
São Paulo,48,2,1,1
São Paulo,200,3,4,2
São Paulo,46,2,1,0
Rio de Janeiro,30,1,1,0
Rio de Janeiro,140,3,2,1
São Paulo,101,3,3,2
São Paulo,340,2,4,3
São Paulo,400,4,5,4
Campinas,55,2,1,1
Rio de Janeiro,45,2,1,1
São Paulo,62,2,2,0
Rio de Janeiro,75,2,1,0
São Paulo,86,3,1,1
Porto Alegre,182,3,3,2
Porto Alegre,30,1,1,1
Rio de Janeiro,153,4,3,1
São Paulo,70,2,1,1
Rio de Janeiro,82,2,1,1
São Paulo,160,3,4,4
São Paulo,270,5,4,4
São Paulo,370,7,6,8
São Paulo,470,4,6,2
São Paulo,200,1,1,3
São Paulo,62,2,2,0
São Paulo,64,2,2,1
São Paulo,58,2,1,1
Porto Alegre,75,2,2,0
São Paulo,200,2,2,2
São Paulo,36,1,1,1
Porto Alegre,120,2,2,1
Porto Alegre,62,2,2,2
São Paulo,490,3,3,3
Belo Horizonte,67,2,2,2
São Paulo,161,3,3,3
São Paulo,176,4,2,3
São Paulo,178,4,4,4
Porto Alegre,88,3,2,0
Porto Alegre,470,3,3,4
São Paulo,257,4,3,2
São Paulo,70,4,3,0
Belo Horizonte,50,2,1,1
Belo Horizonte,89,3,2,1
São Paulo,73,2,1,1
São Paulo,95,3,2,2
Rio de Janeiro,54,2,1,1
Belo Horizonte,150,4,1,3
Rio de Janeiro,139,2,3,1
Porto Alegre,45,1,1,0
São Paulo,255,4,4,4
São Paulo,100,1,1,0
São Paulo,120,3,3,1
Campinas,200,4,5,2
São Paulo,72,2,1,1
Porto Alegre,50,1,1,0
São Paulo,158,3,4,3
São Paulo,22,1,1,0
São Paulo,105,3,2,1
São Paulo,50,2,1,1
Belo Horizonte,65,2,2,0
São Paulo,108,3,2,2
Campinas,50,1,1,0
São Paulo,198,3,3,6
Campinas,74,3,2,1
Rio de Janeiro,71,2,2,1
Porto Alegre,52,2,1,1
Belo Horizonte,355,3,4,8
Porto Alegre,162,3,1,0
São Paulo,90,1,1,0
Porto Alegre,62,2,1,1
São Paulo,130,3,2,2
São Paulo,78,1,1,0
São Paulo,276,4,5,4
São Paulo,50,2,1,1
Porto Alegre,35,1,1,0
Belo Horizonte,161,3,1,2
São Paulo,30,1,1,0
São Paulo,251,4,4,3
São Paulo,77,2,1,1
São Paulo,112,3,3,2
Campinas,273,4,2,2
Rio de Janeiro,55,1,1,1
Campinas,80,3,2,2
São Paulo,400,4,5,3
Rio de Janeiro,110,3,2,1
São Paulo,262,4,5,4
Rio de Janeiro,38,1,1,0
São Paulo,140,2,2,1
São Paulo,110,6,5,7
Porto Alegre,46,1,1,1
Porto Alegre,55,2,1,0
Rio de Janeiro,70,2,1,1
São Paulo,60,2,2,1
São Paulo,87,3,2,2
Porto Alegre,400,3,4,4
Porto Alegre,64,2,2,0
Rio de Janeiro,85,2,2,1
Porto Alegre,140,3,4,2
São Paulo,288,4,5,4
São Paulo,64,3,1,1
São Paulo,62,2,2,1
Rio de Janeiro,15,1,1,0
São Paulo,200,4,3,2
Belo Horizonte,450,4,3,4
São Paulo,72,3,2,1
Rio de Janeiro,75,2,1,1
São Paulo,20,1,1,0
São Paulo,77,2,2,1
São Paulo,57,1,1,0
São Paulo,103,3,3,0
São Paulo,180,3,2,1
Porto Alegre,80,2,1,1
São Paulo,25,1,1,1
Campinas,248,3,4,4
Belo Horizonte,360,6,2,0
São Paulo,62,1,1,0
São Paulo,85,2,1,0
Porto Alegre,187,3,3,2
São Paulo,58,2,3,2
Belo Horizonte,93,2,1,0
São Paulo,28,1,1,0
Campinas,120,3,2,5
Rio de Janeiro,70,1,2,0
São Paulo,162,2,3,3
São Paulo,210,3,2,3
Belo Horizonte,300,3,2,2
São Paulo,40,1,1,1
São Paulo,270,3,4,4
São Paulo,65,2,1,1
Porto Alegre,83,2,2,1
São Paulo,340,4,5,5
Belo Horizonte,28,1,1,1
São Paulo,70,1,1,0
Belo Horizonte,300,3,2,2
São Paulo,423,4,5,7
São Paulo,16,1,1,0
